GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 10.0 percent,Margin of Error; Total: - Less than 10.0 percent,Estimate; Total: - 10.0 to 14.9 percent,Margin of Error; Total: - 10.0 to 14.9 percent,Estimate; Total: - 15.0 to 19.9 percent,Margin of Error; Total: - 15.0 to 19.9 percent,Estimate; Total: - 20.0 to 24.9 percent,Margin of Error; Total: - 20.0 to 24.9 percent,Estimate; Total: - 25.0 to 29.9 percent,Margin of Error; Total: - 25.0 to 29.9 percent,Estimate; Total: - 30.0 to 34.9 percent,Margin of Error; Total: - 30.0 to 34.9 percent,Estimate; Total: - 35.0 to 39.9 percent,Margin of Error; Total: - 35.0 to 39.9 percent,Estimate; Total: - 40.0 to 49.9 percent,Margin of Error; Total: - 40.0 to 49.9 percent,Estimate; Total: - 50.0 percent or more,Margin of Error; Total: - 50.0 percent or more,Estimate; Total: - Not computed,Margin of Error; Total: - Not computed
8600000US78332,78332,ZCTA5 78332,3193,345,79,69,271,109,263,127,299,167,152,81,175,107,373,158,228,116,647,223,706,225
8600000US78335,78335,ZCTA5 78335,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
8600000US78336,78336,ZCTA5 78336,1870,285,53,59,145,91,370,143,156,90,179,103,97,70,72,69,218,150,428,158,152,167
8600000US78338,78338,ZCTA5 78338,7,10,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,7,10
8600000US78339,78339,ZCTA5 78339,75,44,0,13,13,22,16,23,25,29,12,19,0,13,0,13,0,13,9,15,0,13
8600000US78340,78340,ZCTA5 78340,29,18,0,13,2,3,2,3,0,13,0,13,0,13,2,3,6,6,3,3,14,17
8600000US78341,78341,ZCTA5 78341,279,101,10,16,42,43,28,32,32,29,31,33,29,51,28,32,21,32,19,28,39,31
8600000US78342,78342,ZCTA5 78342,51,39,0,13,15,24,0,13,14,24,10,17,0,13,0,13,0,13,5,8,7,11
8600000US78343,78343,ZCTA5 78343,406,94,24,28,18,16,73,40,43,40,11,18,15,24,0,13,44,38,104,56,74,39
8600000US78344,78344,ZCTA5 78344,28,24,0,13,12,19,0,13,0,13,0,13,0,13,0,13,6,11,0,13,10,12
8600000US78349,78349,ZCTA5 78349,5,7,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,5,7
8600000US78351,78351,ZCTA5 78351,21,18,0,13,0,13,3,5,0,13,2,3,0,13,2,3,0,13,14,15,0,13
8600000US78352,78352,ZCTA5 78352,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
8600000US78353,78353,ZCTA5 78353,23,24,0,13,0,13,0,13,0,13,0,13,0,13,5,11,0,13,0,13,18,22
8600000US78355,78355,ZCTA5 78355,762,147,0,19,38,42,71,49,53,50,83,59,13,14,42,54,25,25,183,82,254,98
8600000US78357,78357,ZCTA5 78357,295,108,14,23,18,30,89,90,11,20,48,35,27,32,19,33,17,20,18,24,34,34
8600000US78358,78358,ZCTA5 78358,185,83,5,8,0,13,22,39,29,34,10,18,35,43,41,52,23,30,20,34,0,13
8600000US78359,78359,ZCTA5 78359,220,51,21,18,0,13,0,13,12,14,38,23,41,25,16,17,35,25,32,23,25,17
8600000US78361,78361,ZCTA5 78361,382,105,22,22,29,28,8,12,10,10,42,47,59,51,17,24,25,25,86,59,84,47
8600000US78362,78362,ZCTA5 78362,1050,176,39,41,200,102,154,71,91,60,150,89,27,26,105,81,68,62,132,102,84,73
8600000US78363,78363,ZCTA5 78363,5068,461,140,104,353,172,457,171,630,225,661,238,258,137,339,193,401,172,1149,271,680,191
8600000US78368,78368,ZCTA5 78368,835,151,17,19,81,73,105,79,69,62,69,63,95,60,40,51,42,37,134,74,183,77
8600000US78369,78369,ZCTA5 78369,38,25,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,10,13,28,20
8600000US78370,78370,ZCTA5 78370,389,120,0,13,86,54,6,9,68,61,6,9,51,49,15,23,0,13,68,46,89,53
8600000US78371,78371,ZCTA5 78371,31,31,0,13,5,8,0,13,0,13,0,13,0,13,0,13,0,13,14,20,12,18
8600000US78372,78372,ZCTA5 78372,448,144,13,24,29,38,56,57,80,88,35,55,64,65,9,12,31,32,38,31,93,86
8600000US78373,78373,ZCTA5 78373,792,194,34,57,36,57,18,30,32,37,47,38,122,89,37,58,119,84,171,117,176,115
8600000US78374,78374,ZCTA5 78374,2132,213,76,71,101,75,267,130,371,160,291,132,105,71,154,95,292,150,329,136,146,108
8600000US78375,78375,ZCTA5 78375,221,80,36,36,9,14,12,20,34,33,11,17,0,13,0,13,12,17,43,39,64,55
8600000US78376,78376,ZCTA5 78376,81,54,0,13,30,46,22,25,6,11,13,15,0,13,0,13,0,13,0,13,10,9
8600000US78377,78377,ZCTA5 78377,453,79,51,36,34,34,79,40,7,12,39,31,10,13,0,13,36,26,101,57,96,56
8600000US78379,78379,ZCTA5 78379,82,44,0,13,16,20,3,4,12,18,11,15,0,13,4,6,0,13,0,13,36,24
8600000US78380,78380,ZCTA5 78380,2321,318,111,94,189,119,197,131,149,83,159,114,345,168,10,14,178,133,478,191,505,178
8600000US78382,78382,ZCTA5 78382,1915,388,90,100,178,97,224,179,79,52,229,128,135,98,45,46,300,147,374,179,261,127
8600000US78383,78383,ZCTA5 78383,148,91,0,13,14,22,0,13,0,13,45,70,11,18,0,13,16,28,62,49,0,13
8600000US78384,78384,ZCTA5 78384,773,184,54,53,90,82,76,79,30,27,70,61,0,19,42,54,115,87,87,67,209,115
8600000US78385,78385,ZCTA5 78385,84,39,0,13,11,13,0,13,0,13,12,20,0,13,0,13,0,13,4,7,57,32
8600000US78387,78387,ZCTA5 78387,985,233,45,50,109,79,91,61,217,151,111,80,135,86,27,34,37,44,92,92,121,64
8600000US78389,78389,ZCTA5 78389,102,46,0,13,20,20,0,13,0,13,0,13,0,13,0,13,0,13,13,21,69,41
8600000US78390,78390,ZCTA5 78390,627,121,35,35,37,30,41,29,78,46,76,45,72,52,25,25,41,31,76,53,146,77
8600000US78391,78391,ZCTA5 78391,7,6,0,13,0,13,4,6,0,13,0,13,3,5,0,13,0,13,0,13,0,13
8600000US78393,78393,ZCTA5 78393,145,64,5,6,3,6,29,28,0,13,0,13,0,13,17,21,0,13,33,27,58,46
