GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In households:,Margin of Error; In households:,Estimate; In households: - Under 3 years,Margin of Error; In households: - Under 3 years,Estimate; In households: - 3 and 4 years,Margin of Error; In households: - 3 and 4 years,Estimate; In households: - 5 years,Margin of Error; In households: - 5 years,Estimate; In households: - 6 to 8 years,Margin of Error; In households: - 6 to 8 years,Estimate; In households: - 9 to 11 years,Margin of Error; In households: - 9 to 11 years,Estimate; In households: - 12 to 14 years,Margin of Error; In households: - 12 to 14 years,Estimate; In households: - 15 to 17 years,Margin of Error; In households: - 15 to 17 years,Estimate; In group quarters,Margin of Error; In group quarters
8600000US75148,75148,ZCTA5 75148,1567,384,1567,384,136,75,40,28,94,63,292,89,392,137,342,145,271,126,0,18
8600000US75149,75149,ZCTA5 75149,17613,1115,17607,1116,2887,463,2195,430,673,206,2804,351,3102,441,2783,417,3163,410,6,9
8600000US75150,75150,ZCTA5 75150,16909,987,16909,987,2708,379,2097,327,943,278,3131,355,3034,447,2680,402,2316,366,0,30
8600000US75152,75152,ZCTA5 75152,1760,423,1760,423,237,115,135,58,89,46,350,148,342,160,380,160,227,83,0,18
8600000US75153,75153,ZCTA5 75153,193,131,193,131,48,51,3,5,20,22,39,46,27,35,30,44,26,32,0,13
8600000US75154,75154,ZCTA5 75154,10574,624,10573,624,1441,280,1226,325,694,187,1836,339,1819,312,1619,306,1938,369,1,3
8600000US75155,75155,ZCTA5 75155,915,204,915,204,70,37,112,56,15,12,173,61,142,54,177,80,226,88,0,13
8600000US75156,75156,ZCTA5 75156,2897,426,2897,426,297,109,269,135,98,70,425,97,573,148,629,231,606,173,0,20
8600000US75157,75157,ZCTA5 75157,46,32,46,32,0,13,1,4,1,3,2,6,3,4,19,16,20,19,0,13
8600000US75158,75158,ZCTA5 75158,916,255,916,255,78,64,56,42,87,82,149,91,109,49,235,91,202,99,0,13
8600000US75159,75159,ZCTA5 75159,4777,525,4777,525,621,221,531,187,231,127,1145,283,1017,274,707,205,525,187,0,20
8600000US75160,75160,ZCTA5 75160,6377,614,6331,614,1128,185,738,199,389,136,1308,264,1172,321,922,225,674,162,46,42
8600000US75161,75161,ZCTA5 75161,1456,423,1456,423,134,76,81,63,72,79,584,289,222,166,163,91,200,131,0,18
8600000US75163,75163,ZCTA5 75163,243,88,243,88,54,43,9,8,5,6,46,33,24,17,44,20,61,36,0,13
8600000US75164,75164,ZCTA5 75164,135,64,135,64,14,15,24,19,8,13,14,16,22,20,23,19,30,21,0,13
8600000US75165,75165,ZCTA5 75165,10534,578,10477,571,1500,203,1066,201,701,181,2013,350,1994,348,1425,255,1778,306,57,52
8600000US75166,75166,ZCTA5 75166,1137,191,1137,191,212,56,106,48,75,36,160,94,244,82,196,64,144,61,0,13
8600000US75167,75167,ZCTA5 75167,2789,450,2740,448,203,117,408,147,74,59,534,219,420,157,569,150,532,177,49,19
8600000US75169,75169,ZCTA5 75169,3253,421,3253,421,451,124,360,137,113,62,375,124,555,188,537,156,862,170,0,20
8600000US75172,75172,ZCTA5 75172,1177,231,1177,231,252,101,247,113,0,13,235,112,209,65,180,106,54,45,0,13
8600000US75173,75173,ZCTA5 75173,1207,321,1207,321,120,58,143,100,128,101,293,156,141,81,101,55,281,113,0,13
8600000US75180,75180,ZCTA5 75180,8720,547,8720,547,1551,325,1002,251,314,133,1640,308,1216,247,1651,354,1346,269,0,24
8600000US75181,75181,ZCTA5 75181,8711,766,8711,766,816,237,892,286,554,186,1675,379,1453,330,1665,298,1656,323,0,24
8600000US75182,75182,ZCTA5 75182,1332,160,1332,160,203,103,87,67,12,18,244,103,155,76,260,88,371,143,0,18
8600000US75189,75189,ZCTA5 75189,6919,652,6919,652,1259,315,806,199,377,166,928,233,1182,255,1336,334,1031,225,0,24
8600000US75201,75201,ZCTA5 75201,503,255,503,255,171,97,19,21,68,69,84,76,59,67,86,93,16,19,0,20
8600000US75202,75202,ZCTA5 75202,49,54,49,54,30,44,0,13,0,13,10,15,0,13,0,13,9,14,0,13
8600000US75203,75203,ZCTA5 75203,4308,642,4308,642,850,250,470,153,339,113,850,216,695,201,585,148,519,174,0,20
8600000US75204,75204,ZCTA5 75204,3098,525,3097,525,601,173,296,146,167,85,727,256,373,126,438,148,495,240,1,2
8600000US75205,75205,ZCTA5 75205,5497,335,5447,333,555,111,471,113,265,69,1046,196,902,162,1230,201,978,164,50,39
8600000US75206,75206,ZCTA5 75206,4177,543,4177,543,1277,323,639,185,212,104,650,171,560,170,383,166,456,151,0,27
8600000US75207,75207,ZCTA5 75207,90,77,63,75,26,41,5,10,23,36,0,18,0,18,0,18,9,14,27,17
8600000US75208,75208,ZCTA5 75208,8585,723,8555,726,1544,255,1011,246,598,147,1392,239,1416,248,1495,272,1099,194,30,27
8600000US75209,75209,ZCTA5 75209,2941,478,2941,478,896,229,418,135,207,99,504,206,298,108,434,197,184,117,0,20
8600000US75210,75210,ZCTA5 75210,1739,435,1739,435,357,144,204,99,85,51,235,114,293,121,294,100,271,104,0,18
8600000US75211,75211,ZCTA5 75211,24569,1352,24561,1352,3748,511,3442,392,1535,255,4204,506,4151,471,3713,418,3768,528,8,17
8600000US75212,75212,ZCTA5 75212,9089,929,8873,910,1433,302,947,215,602,154,1621,310,1497,251,1381,253,1392,237,216,250
8600000US75214,75214,ZCTA5 75214,6784,533,6784,533,1486,249,1201,199,305,111,1324,238,1080,197,848,190,540,137,0,27
8600000US75215,75215,ZCTA5 75215,3016,410,3003,410,702,200,348,111,229,90,319,100,561,159,401,131,443,102,13,12
