GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent,Margin of Error; Median gross rent
8600000US75090,75090,ZCTA5 75090,835,36
8600000US75092,75092,ZCTA5 75092,826,42
8600000US75093,75093,ZCTA5 75093,1261,42
8600000US75094,75094,ZCTA5 75094,2165,154
8600000US75098,75098,ZCTA5 75098,1335,84
8600000US75101,75101,ZCTA5 75101,878,235
8600000US75102,75102,ZCTA5 75102,976,171
8600000US75103,75103,ZCTA5 75103,907,91
8600000US75104,75104,ZCTA5 75104,1277,55
8600000US75105,75105,ZCTA5 75105,-,**
8600000US75109,75109,ZCTA5 75109,1101,94
8600000US75110,75110,ZCTA5 75110,758,37
8600000US75114,75114,ZCTA5 75114,1171,67
8600000US75115,75115,ZCTA5 75115,1068,44
8600000US75116,75116,ZCTA5 75116,956,36
8600000US75117,75117,ZCTA5 75117,724,101
8600000US75119,75119,ZCTA5 75119,846,25
8600000US75124,75124,ZCTA5 75124,646,228
8600000US75125,75125,ZCTA5 75125,944,56
8600000US75126,75126,ZCTA5 75126,1272,134
8600000US75127,75127,ZCTA5 75127,699,87
8600000US75132,75132,ZCTA5 75132,-,**
8600000US75134,75134,ZCTA5 75134,951,73
8600000US75135,75135,ZCTA5 75135,929,111
8600000US75137,75137,ZCTA5 75137,1185,46
8600000US75140,75140,ZCTA5 75140,691,137
8600000US75141,75141,ZCTA5 75141,919,77
8600000US75142,75142,ZCTA5 75142,865,61
8600000US75143,75143,ZCTA5 75143,823,71
8600000US75144,75144,ZCTA5 75144,730,227
8600000US75146,75146,ZCTA5 75146,996,88
8600000US75147,75147,ZCTA5 75147,693,70
8600000US75148,75148,ZCTA5 75148,740,62
8600000US75149,75149,ZCTA5 75149,992,41
8600000US75150,75150,ZCTA5 75150,997,27
8600000US75152,75152,ZCTA5 75152,982,113
8600000US75153,75153,ZCTA5 75153,-,**
8600000US75154,75154,ZCTA5 75154,1106,86
8600000US75155,75155,ZCTA5 75155,784,93
8600000US75156,75156,ZCTA5 75156,792,61
8600000US75157,75157,ZCTA5 75157,838,296
8600000US75158,75158,ZCTA5 75158,1021,271
8600000US75159,75159,ZCTA5 75159,878,92
8600000US75160,75160,ZCTA5 75160,893,39
8600000US75161,75161,ZCTA5 75161,980,102
8600000US75163,75163,ZCTA5 75163,1002,364
8600000US75164,75164,ZCTA5 75164,1096,62
8600000US75165,75165,ZCTA5 75165,989,30
8600000US75166,75166,ZCTA5 75166,1642,107
8600000US75167,75167,ZCTA5 75167,1403,99
8600000US75169,75169,ZCTA5 75169,720,128
8600000US75172,75172,ZCTA5 75172,816,79
8600000US75173,75173,ZCTA5 75173,1091,111
8600000US75180,75180,ZCTA5 75180,919,64
8600000US75181,75181,ZCTA5 75181,1646,74
8600000US75182,75182,ZCTA5 75182,2220,736
8600000US75189,75189,ZCTA5 75189,1214,107
8600000US75201,75201,ZCTA5 75201,1611,56
8600000US75202,75202,ZCTA5 75202,1484,94
8600000US75203,75203,ZCTA5 75203,762,54
8600000US75204,75204,ZCTA5 75204,1376,35
8600000US75205,75205,ZCTA5 75205,1379,70
8600000US75206,75206,ZCTA5 75206,1187,22
8600000US75207,75207,ZCTA5 75207,1522,87
8600000US75208,75208,ZCTA5 75208,898,44
8600000US75209,75209,ZCTA5 75209,1234,78
8600000US75210,75210,ZCTA5 75210,688,21
8600000US75211,75211,ZCTA5 75211,852,19
8600000US75212,75212,ZCTA5 75212,621,83
8600000US75214,75214,ZCTA5 75214,1070,34
8600000US75215,75215,ZCTA5 75215,762,55
8600000US75216,75216,ZCTA5 75216,785,24
8600000US75217,75217,ZCTA5 75217,870,29
8600000US75218,75218,ZCTA5 75218,1062,60
