GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Under 6 years,Margin of Error; Income in the past 12 months below poverty level: - Under 6 years,Estimate; Income in the past 12 months below poverty level: - 6 to 11 years,Margin of Error; Income in the past 12 months below poverty level: - 6 to 11 years,Estimate; Income in the past 12 months below poverty level: - 12 to 17 years,Margin of Error; Income in the past 12 months below poverty level: - 12 to 17 years,Estimate; Income in the past 12 months below poverty level: - 18 to 59 years,Margin of Error; Income in the past 12 months below poverty level: - 18 to 59 years,Estimate; Income in the past 12 months below poverty level: - 60 to 74 years,Margin of Error; Income in the past 12 months below poverty level: - 60 to 74 years,Estimate; Income in the past 12 months below poverty level: - 75 to 84 years,Margin of Error; Income in the past 12 months below poverty level: - 75 to 84 years,Estimate; Income in the past 12 months below poverty level: - 85 years and over,Margin of Error; Income in the past 12 months below poverty level: - 85 years and over,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Under 6 years,Margin of Error; Income in the past 12 months at or above poverty level: - Under 6 years,Estimate; Income in the past 12 months at or above poverty level: - 6 to 11 years,Margin of Error; Income in the past 12 months at or above poverty level: - 6 to 11 years,Estimate; Income in the past 12 months at or above poverty level: - 12 to 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - 12 to 17 years,Estimate; Income in the past 12 months at or above poverty level: - 18 to 59 years,Margin of Error; Income in the past 12 months at or above poverty level: - 18 to 59 years,Estimate; Income in the past 12 months at or above poverty level: - 60 to 74 years,Margin of Error; Income in the past 12 months at or above poverty level: - 60 to 74 years,Estimate; Income in the past 12 months at or above poverty level: - 75 to 84 years,Margin of Error; Income in the past 12 months at or above poverty level: - 75 to 84 years,Estimate; Income in the past 12 months at or above poverty level: - 85 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - 85 years and over
8600000US75089,75089,ZCTA5 75089,31434,882,2370,909,249,269,230,165,379,254,1262,460,142,108,81,111,27,44,29064,1216,2297,612,2697,548,2895,446,17458,807,2885,491,641,218,191,122
8600000US75090,75090,ZCTA5 75090,22365,981,5873,869,808,221,918,298,521,166,3209,522,218,100,155,98,44,34,16492,1080,1487,237,1114,257,1404,278,9247,692,2217,295,763,155,260,91
8600000US75092,75092,ZCTA5 75092,23285,916,2533,490,183,100,276,159,138,80,1471,268,318,128,124,102,23,36,20752,949,1113,230,1621,236,1649,295,11150,611,3875,407,1067,180,277,81
8600000US75093,75093,ZCTA5 75093,47605,1016,2571,553,199,178,243,111,296,139,1234,295,293,158,107,67,199,121,45034,1127,2532,393,3560,397,4330,456,26244,935,6179,570,1469,311,720,260
8600000US75094,75094,ZCTA5 75094,22128,373,683,478,13,20,40,63,86,106,364,305,121,87,59,54,0,24,21445,563,2139,346,2390,296,2550,414,11724,654,2283,460,299,125,60,46
8600000US75098,75098,ZCTA5 75098,50512,869,3496,1029,358,210,412,219,445,209,1754,559,327,199,177,162,23,30,47016,1108,4305,644,5002,651,4669,630,27841,974,4089,550,780,200,330,176
8600000US75101,75101,ZCTA5 75101,607,126,123,59,7,9,14,16,8,11,59,29,21,17,14,15,0,13,484,126,43,25,60,30,89,38,220,56,52,25,20,16,0,13
8600000US75102,75102,ZCTA5 75102,1261,333,193,105,0,13,2,3,41,39,115,64,19,17,14,22,2,3,1068,328,109,85,79,74,44,43,536,243,200,121,98,87,2,3
8600000US75103,75103,ZCTA5 75103,13156,839,1724,465,73,49,144,94,200,103,1047,332,187,99,61,41,12,16,11432,800,680,203,837,220,919,247,5639,528,2236,283,835,208,286,164
8600000US75104,75104,ZCTA5 75104,47014,361,5506,1020,578,219,1055,373,806,273,2597,475,367,197,77,60,26,22,41508,1059,3712,621,3673,502,4321,508,24120,782,4604,417,725,174,353,122
8600000US75105,75105,ZCTA5 75105,135,55,3,4,0,13,0,13,1,2,2,4,0,13,0,13,0,13,132,55,13,18,10,11,0,13,45,29,64,39,0,13,0,13
8600000US75109,75109,ZCTA5 75109,4292,399,536,187,30,31,67,46,50,40,292,122,63,38,16,13,18,17,3756,399,179,72,309,137,377,106,1935,250,782,180,126,39,48,29
8600000US75110,75110,ZCTA5 75110,27888,672,6382,843,1219,254,920,224,492,196,2829,398,632,224,216,92,74,50,21506,907,1395,304,1636,302,1789,289,12106,589,3309,347,876,184,395,129
8600000US75114,75114,ZCTA5 75114,4845,516,375,229,23,26,36,30,48,58,257,179,11,11,0,13,0,13,4470,471,341,103,449,117,494,168,2539,294,483,132,142,67,22,21
8600000US75115,75115,ZCTA5 75115,50395,291,5671,1174,505,340,654,257,751,317,2778,578,846,250,124,71,13,23,44724,1228,2334,434,4153,639,4124,491,25597,1089,6443,711,1720,286,353,121
8600000US75116,75116,ZCTA5 75116,20240,717,3067,818,504,222,659,270,337,185,1431,388,116,58,17,24,3,7,17173,1022,1775,303,1786,300,1242,352,8851,692,2578,295,776,160,165,77
8600000US75117,75117,ZCTA5 75117,3494,337,539,195,20,18,10,14,31,23,322,142,109,62,44,30,3,4,2955,350,148,72,198,78,221,76,1501,185,614,163,226,95,47,23
8600000US75119,75119,ZCTA5 75119,26600,702,6099,1119,814,220,813,239,938,297,2878,733,400,156,125,92,131,84,20501,1025,1471,292,1657,286,1732,447,11193,721,3389,409,782,176,277,115
8600000US75124,75124,ZCTA5 75124,4082,603,442,144,32,20,31,24,50,39,273,105,43,28,7,10,6,8,3640,593,183,79,144,54,187,62,2117,433,711,203,185,87,113,78
8600000US75125,75125,ZCTA5 75125,5668,705,1406,502,226,113,137,88,232,275,586,214,188,150,37,42,0,18,4262,670,250,90,309,101,294,113,2415,436,671,183,288,220,35,35
8600000US75126,75126,ZCTA5 75126,36932,1156,2375,748,352,238,370,200,265,121,1158,398,213,125,12,17,5,9,34557,1448,3407,498,3916,458,3722,470,19993,875,2758,366,570,149,191,131
8600000US75127,75127,ZCTA5 75127,1807,306,306,143,23,25,47,37,28,31,161,78,37,27,10,15,0,13,1501,247,73,41,136,59,192,58,804,171,193,55,71,29,32,19
