GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In households:,Margin of Error; In households:,Estimate; In households: - Under 3 years,Margin of Error; In households: - Under 3 years,Estimate; In households: - 3 and 4 years,Margin of Error; In households: - 3 and 4 years,Estimate; In households: - 5 years,Margin of Error; In households: - 5 years,Estimate; In households: - 6 to 8 years,Margin of Error; In households: - 6 to 8 years,Estimate; In households: - 9 to 11 years,Margin of Error; In households: - 9 to 11 years,Estimate; In households: - 12 to 14 years,Margin of Error; In households: - 12 to 14 years,Estimate; In households: - 15 to 17 years,Margin of Error; In households: - 15 to 17 years,Estimate; In group quarters,Margin of Error; In group quarters
8600000US75093,75093,ZCTA5 75093,11396,653,11396,653,1155,245,818,182,458,164,2101,263,2195,297,2157,224,2512,284,0,27
8600000US75094,75094,ZCTA5 75094,7139,489,7139,489,718,211,880,186,374,128,1245,239,1418,260,1311,235,1193,321,0,24
8600000US75098,75098,ZCTA5 75098,15007,721,15007,721,2384,403,1593,345,920,235,2902,396,2364,469,2393,346,2451,435,0,27
8600000US75101,75101,ZCTA5 75101,202,79,202,79,26,21,21,17,13,11,26,16,49,24,22,16,45,24,0,13
8600000US75102,75102,ZCTA5 75102,257,132,257,132,85,90,25,25,0,13,27,28,71,66,34,31,15,16,0,13
8600000US75103,75103,ZCTA5 75103,2877,390,2860,389,434,106,378,107,108,64,515,160,457,130,452,148,516,135,17,33
8600000US75104,75104,ZCTA5 75104,13689,639,13688,639,1931,391,1385,310,675,203,2412,332,2455,376,2425,338,2405,332,1,3
8600000US75105,75105,ZCTA5 75105,47,42,47,42,3,6,3,5,0,13,20,21,14,19,4,6,3,6,0,13
8600000US75109,75109,ZCTA5 75109,915,195,915,195,127,71,50,36,56,25,181,66,125,48,190,84,186,84,0,13
8600000US75110,75110,ZCTA5 75110,7761,314,7600,329,1544,199,774,185,451,125,1167,219,1153,191,1389,271,1122,122,161,74
